Column1.1,Column1.2,Column1.3,Column1.4,Column1.5,Column1.6,Column1.7,Column1.8,Column1.9,Column1.10,Column1.11,Column1.12,Column1.13,Column1.14,Column1.15,Column1.16,Column1.17,Column1.18,Column1.19,Column1.20,Column1.21
, 98        , Oshogbo General Hospital , Osun        , Oshogbo City      , Pediatrics       , Infant Incubator    , 1        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 99        , Yenagoa Medical Center , Bayelsa     , Yenagoa City      , Pediatrics       , Phototherapy Unit   , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 100       , Sokoto General Hospital , Sokoto      , Sokoto City       , Radiology        , Ultrasound Machine  , 1        , 40000            , Sonoscan          , Michael Chang    , +6677889900    , michael@sonoscan.jp   , Japan           , 2024-03-05   , 2024-03-28     , 36                       , 2000                         , 1200                    , New                 ,
,-----------,----------------------------,-------------,-------------------,------------------,-----------------------,----------,------------------,-------------------,------------------,----------------,------------------------,-----------------,--------------,----------------,--------------------------,------------------------------,-------------------------,---------------------,
, 101       , Port Harcourt General      , Rivers      , Port Harcourt     , Pediatrics       , Infant Incubator    , 1        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 102       , Abuja Central Hospital     , Abuja       , Abuja City        , Radiology        , X-ray Machine        , 1        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 103       , Enugu State Hospital       , Enugu       , Enugu City        , Surgery          , Anesthesia Machine   , 1        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 104       , Owerri General Hospital    , Imo         , Owerri City       , Pediatrics       , Phototherapy Unit   , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 105       , Kaduna National Hospital   , Kaduna      , Kaduna City       , Radiology        , Ultrasound Machine  , 1        , 40000            , Sonoscan          , Michael Chang    , +6677889900    , michael@sonoscan.jp   , Japan           , 2024-03-05   , 2024-03-28     , 36                       , 2000                         , 1200                    , New                 ,
, 106       , Minna Federal Medical Center , Niger    , Minna City        , Emergency Care   , Ventilator           , 1        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 107       , Oshogbo General Hospital   , Osun        , Oshogbo City      , Surgery          , C-arm Fluoroscopy    , 1        , 60000            , FluoroTech        , Sophia Chen      , +3322114455    , sophia@fluorotech.tw  , Taiwan          , 2024-04-10   , 2024-05-05     , 48                       , 2500                         , 1500                    , New                 ,
, 108       , Yenagoa Medical Center     , Bayelsa     , Yenagoa City      , Surgery          , Operating Table      , 1        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 109       , Sokoto General Hospital   , Sokoto      , Sokoto City       , Pediatrics       , Infant Warmers      , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 800                          , 500                     , Used - Good         ,
, 110       , Uyo General Hospital      , Akwa Ibom   , Uyo City          , Pediatrics       , Phototherapy Unit   , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 111       , Port Harcourt General     , Rivers      , Port Harcourt     , Radiology        , Ultrasound Machine  , 1        , 40000            , Sonoscan          , Michael Chang    , +6677889900    , michael@sonoscan.jp   , Japan           , 2024-03-05   , 2024-03-28     , 36                       , 2000                         , 1200                    , New                 ,
, 112       , Abuja Central Hospital    , Abuja       , Abuja City        , Emergency Care   , Ventilator           , 1        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 113       , Enugu State Hospital      , Enugu       , Enugu City        , Pediatrics       , Infant Incubator    , 1        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 114       , Owerri General Hospital   , Imo         , Owerri City       , Surgery          , Anesthesia Machine  , 1        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 115       , Kaduna National Hospital  , Kaduna      , Kaduna City       , Radiology        , X-ray Machine       , 1        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 116       , Minna Federal Medical Center , Niger    , Minna City        , Pediatrics       , Phototherapy Unit  , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 117       , Oshogbo General Hospital  , Osun        , Oshogbo City      , Radiology        , CT Scanner           , 1        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 118       , Yenagoa Medical Center    , Bayelsa     , Yenagoa City      , Emergency Care   , Defibrillator        , 1        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 119       , Sokoto General Hospital  , Sokoto      , Sokoto City       , Surgery          , Operating Table      , 1        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 120       , Uyo General Hospital     , Akwa Ibom   , Uyo City          , Pediatrics       , Infant Warmers      , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 800                          , 500                     , Used - Good         ,
, 121       , Port Harcourt General      , Rivers      , Port Harcourt     , Emergency Care   , Defibrillator        , 1        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 122       , Abuja Central Hospital     , Abuja       , Abuja City        , Surgery          , Operating Table      , 1        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 123       , Enugu State Hospital       , Enugu       , Enugu City        , Pediatrics       , Infant Incubator    , 1        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 124       , Owerri General Hospital    , Imo         , Owerri City       , Radiology        , Ultrasound Machine  , 1        , 40000            , Sonoscan          , Michael Chang    , +6677889900    , michael@sonoscan.jp   , Japan           , 2024-03-05   , 2024-03-28     , 36                       , 2000                         , 1200                    , New                 ,
, 125       , Kaduna National Hospital   , Kaduna      , Kaduna City       , Surgery          , Anesthesia Machine  , 1        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 126       , Minna Federal Medical Center , Niger    , Minna City        , Pediatrics       , Phototherapy Unit  , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 127       , Oshogbo General Hospital  , Osun        , Oshogbo City      , Radiology        , CT Scanner           , 1        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 128       , Yenagoa Medical Center    , Bayelsa     , Yenagoa City      , Emergency Care   , Ventilator           , 1        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 129       , Sokoto General Hospital  , Sokoto      , Sokoto City       , Pediatrics       , Infant Warmers      , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 800                          , 500                     , Used - Good         ,
, 130       , Uyo General Hospital     , Akwa Ibom   , Uyo City          , Pediatrics       , Phototherapy Unit   , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 131       , Port Harcourt General      , Rivers      , Port Harcourt     , Radiology        , Ultrasound Machine  , 1        , 40000            , Sonoscan          , Michael Chang    , +6677889900    , michael@sonoscan.jp   , Japan           , 2024-03-05   , 2024-03-28     , 36                       , 2000                         , 1200                    , New                 ,
, 132       , Abuja Central Hospital     , Abuja       , Abuja City        , Emergency Care   , Ventilator           , 1        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 133       , Enugu State Hospital       , Enugu       , Enugu City        , Pediatrics       , Infant Incubator    , 1        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 134       , Owerri General Hospital    , Imo         , Owerri City       , Surgery          , Anesthesia Machine  , 1        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 135       , Kaduna National Hospital   , Kaduna      , Kaduna City       , Radiology        , X-ray Machine       , 1        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 136       , Minna Federal Medical Center , Niger    , Minna City        , Pediatrics       , Phototherapy Unit  , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 137       , Oshogbo General Hospital  , Osun        , Oshogbo City      , Radiology        , CT Scanner           , 1        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 138       , Yenagoa Medical Center    , Bayelsa     , Yenagoa City      , Emergency Care   , Defibrillator        , 1        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 139       , Sokoto General Hospital  , Sokoto      , Sokoto City       , Surgery          , Operating Table      , 1        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 140       , Uyo General Hospital     , Akwa Ibom   , Uyo City          , Pediatrics       , Infant Warmers      , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 800                          , 500                     , Used - Good         ,
,-----------,----------------------------,-------------,-------------------,------------------,-----------------------,----------,------------------,-------------------,------------------,----------------,------------------------,-----------------,--------------,----------------,--------------------------,------------------------------,-------------------------,---------------------,
, 141       , Port Harcourt General      , Rivers      , Port Harcourt     , Pediatrics       , Phototherapy Unit   , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 142       , Abuja Central Hospital     , Abuja       , Abuja City        , Radiology        , Ultrasound Machine  , 1        , 40000            , Sonoscan          , Michael Chang    , +6677889900    , michael@sonoscan.jp   , Japan           , 2024-03-05   , 2024-03-28     , 36                       , 2000                         , 1200                    , New                 ,
, 143       , Enugu State Hospital       , Enugu       , Enugu City        , Surgery          , Anesthesia Machine  , 1        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 144       , Owerri General Hospital    , Imo         , Owerri City       , Pediatrics       , Infant Incubator    , 1        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 145       , Kaduna National Hospital   , Kaduna      , Kaduna City       , Emergency Care   , Ventilator           , 1        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 146       , Minna Federal Medical Center , Niger    , Minna City        , Radiology        , CT Scanner           , 1        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 147       , Oshogbo General Hospital  , Osun        , Oshogbo City      , Emergency Care   , Defibrillator        , 1        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 148       , Yenagoa Medical Center    , Bayelsa     , Yenagoa City      , Surgery          , Operating Table      , 1        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 149       , Sokoto General Hospital  , Sokoto      , Sokoto City       , Pediatrics       , Infant Warmers      , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 800                          , 500                     , Used - Good         ,
, 150       , Uyo General Hospital     , Akwa Ibom   , Uyo City          , Pediatrics       , Phototherapy Unit   , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 151       , Port Harcourt General      , Rivers      , Port Harcourt     , Radiology        , X-ray Machine       , 1        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 152       , Abuja Central Hospital     , Abuja       , Abuja City        , Surgery          , Anesthesia Machine  , 1        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 153       , Enugu State Hospital       , Enugu       , Enugu City        , Pediatrics       , Infant Incubator    , 1        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 154       , Owerri General Hospital    , Imo         , Owerri City       , Surgery          , C-arm Fluoroscopy    , 1        , 60000            , FluoroTech        , Sophia Chen      , +3322114455    , sophia@fluorotech.tw  , Taiwan          , 2024-04-10   , 2024-05-05     , 48                       , 2500                         , 1500                    , New                 ,
, 155       , Kaduna National Hospital   , Kaduna      , Kaduna City       , Radiology        , MRI Machine          , 1        , 200000           , MRI Solutions     , John Doe         , +1122334455    , john@mrisolutions.us   , USA             , 2024-03-01   , 2024-03-30     , 60                       , 5000                         , 3000                    , New                 ,
, 156       , Minna Federal Medical Center , Niger    , Minna City        , Pediatrics       , Infant Warmers      , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 157       , Oshogbo General Hospital  , Osun        , Oshogbo City      , Emergency Care   , Defibrillator        , 1        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 158       , Yenagoa Medical Center    , Bayelsa     , Yenagoa City      , Surgery          , Operating Table      , 1        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 159       , Sokoto General Hospital  , Sokoto      , Sokoto City       , Pediatrics       , Infant Incubator    , 1        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 160       , Uyo General Hospital     , Akwa Ibom   , Uyo City          , Pediatrics       , Phototherapy Unit   , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
,-----------,----------------------------,-------------,-------------------,------------------,-----------------------,----------,------------------,-------------------,------------------,----------------,------------------------,-----------------,--------------,----------------,--------------------------,------------------------------,-------------------------,---------------------,
, 161       , Port Harcourt General      , Rivers      , Port Harcourt     , Radiology        , X-ray Machine       , 7        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 162       , Abuja Central Hospital     , Abuja       , Abuja City        , Pediatrics       , Infant Incubator    , 5        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 163       , Enugu State Hospital       , Enugu       , Enugu City        , Surgery          , C-arm Fluoroscopy    , 3        , 60000            , FluoroTech        , Sophia Chen      , +3322114455    , sophia@fluorotech.tw  , Taiwan          , 2024-04-10   , 2024-05-05     , 48                       , 2500                         , 1500                    , New                 ,
, 164       , Owerri General Hospital    , Imo         , Owerri City       , Emergency Care   , Defibrillator        , 2        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 165       , Kaduna National Hospital   , Kaduna      , Kaduna City       , Surgery          , Operating Table      , 1        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 166       , Minna Federal Medical Center , Niger    , Minna City        , Radiology        , MRI Machine          , 8        , 200000           , MRI Solutions     , John Doe         , +1122334455    , john@mrisolutions.us   , USA             , 2024-03-01   , 2024-03-30     , 60                       , 5000                         , 3000                    , New                 ,
, 167       , Oshogbo General Hospital  , Osun        , Oshogbo City      , Pediatrics       , Infant Warmers      , 4        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 800                          , 500                     , Used - Good         ,
, 168       , Yenagoa Medical Center    , Bayelsa     , Yenagoa City      , Radiology        , CT Scanner           , 10       , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 169       , Sokoto General Hospital  , Sokoto      , Sokoto City       , Emergency Care   , Defibrillator        , 6        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 170       , Uyo General Hospital     , Akwa Ibom   , Uyo City          , Pediatrics       , Infant Incubator    , 9        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 171       , Port Harcourt General      , Rivers      , Port Harcourt     , Emergency Care   , Ventilator           , 3        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 172       , Abuja Central Hospital     , Abuja       , Abuja City        , Pediatrics       , Phototherapy Unit   , 4        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 173       , Enugu State Hospital       , Enugu       , Enugu City        , Radiology        , X-ray Machine       , 2        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 174       , Owerri General Hospital    , Imo         , Owerri City       , Surgery          , Anesthesia Machine  , 7        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 175       , Kaduna National Hospital   , Kaduna      , Kaduna City       , Radiology        , MRI Machine          , 1        , 200000           , MRI Solutions     , John Doe         , +1122334455    , john@mrisolutions.us   , USA             , 2024-03-01   , 2024-03-30     , 60                       , 5000                         , 3000                    , New                 ,
, 176       , Minna Federal Medical Center , Niger    , Minna City        , Pediatrics       , Infant Warmers      , 5        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 177       , Oshogbo General Hospital  , Osun        , Oshogbo City      , Emergency Care   , Defibrillator        , 8        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 178       , Yenagoa Medical Center    , Bayelsa     , Yenagoa City      , Surgery          , Operating Table      , 3        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 179       , Sokoto General Hospital  , Sokoto      , Sokoto City       , Pediatrics       , Infant Incubator    , 2        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 180       , Uyo General Hospital     , Akwa Ibom   , Uyo City          , Radiology        , Ultrasound Machine  , 6        , 40000            , Sonoscan          , Michael Chang    , +6677889900    , michael@sonoscan.jp   , Japan           , 2024-03-05   , 2024-03-28     , 36                       , 2000                         , 1200                    , New                 ,
, 181       , Warri General Hospital     , Delta       , Warri City        , Surgery          , Anesthesia Machine  , 5        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 182       , Aba Medical Center         , Abia        , Aba City          , Pediatrics       , Infant Warmers      , 3        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-03-15   , 2024-04-10     , 24                       , 800                          , 500                     , Used - Good         ,
, 183       , Calabar General Hospital   , Cross River , Calabar City      , Radiology        , CT Scanner           , 1        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-04-20   , 2024-05-15     , 60                       , 3000                         , 2000                    , New                 ,
, 184       , Lokoja Medical Center     , Kogi        , Lokoja City       , Emergency Care   , Defibrillator        , 6        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1200                         , 800                     , New                 ,
, 185       , Gombe General Hospital     , Gombe       , Gombe City        , Surgery          , Operating Table      , 4        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 186       , Jalingo Federal Medical Center , Taraba  , Jalingo City      , Pediatrics       , Infant Incubator    , 7        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 187       , Bauchi National Hospital   , Bauchi      , Bauchi City       , Radiology        , MRI Machine          , 2        , 200000           , MRI Solutions     , John Doe         , +1122334455    , john@mrisolutions.us   , USA             , 2024-03-01   , 2024-03-30     , 60                       , 5000                         , 3000                    , New                 ,
, 188       , Umuahia General Hospital   , Abia        , Umuahia City      , Pediatrics       , Phototherapy Unit   , 5        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-28   , 2024-03-25     , 24                       , 800                          , 500                     , Used - Good         ,
, 189       , Akure Medical Center       , Ondo        , Akure City        , Emergency Care   , Ventilator           , 3        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 190       , Ibadan National Hospital   , Oyo         , Ibadan City       , Pediatrics       , Incubator            , 6        , 8000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 1000                         , 500                     , Used - Good         ,
, 191       , Maiduguri General Hospital , Borno       , Maiduguri City    , Radiology        , X-ray Machine       , 4        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-10   , 2024-03-05     , 36                       , 1500                         , 800                     , Refurbished         ,
, 192       , Kano National Hospital     , Kano        , Kano City         , Emergency Care   , Defibrillator        , 7        , 10000            , CardiaTech        , Mark Smith       , +3322114455    , mark@cardiatech.us     , USA             , 2024-03-20   , 2024-04-15     , 36                       , 1200                         , 800                     , New                 ,
, 193       , Makurdi General Hospital   , Benue       , Makurdi City      , Pediatrics       , Infant Warmers      , 2        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-15   , 2024-03-10     , 24                       , 800                          , 500                     , Used - Good         ,
, 194       , Asaba Medical Center       , Delta       , Asaba City        , Radiology        , CT Scanner           , 5        , 80000            , ScanTech          , Emily Johnson    , +7755332211    , emily@scantech.de      , Germany         , 2024-03-05   , 2024-03-28     , 60                       , 3000                         , 2000                    , New                 ,
, 195       , Gusau General Hospital     , Zamfara     , Gusau City        , Surgery          , Operating Table      , 3        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-10   , 2024-04-05     , 36                       , 1800                         , 1000                    , Used - Good         ,
